degree,course_name,syllabus_url
,,https://docs.ie.edu/university/Grados/BCSAI/AI_MACHINE_LEARNING_FOUNDATIONS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_PERSONALITY_AND_EMOTION_FOR_AI_DESIGN.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/IE_Impact_Entrepreneurship.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/COMPUTER_PROGRAMMING_2.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/SOFTWARE_DEVELOPMENT_AND_DEVOPS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/HIGH_PERFORMANCE_COMPUTING.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_REASONING__PROBLEM_SOLVING.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/IE_Challenge.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_NATURAL_LANGUAGE_PROCESSING__SEMANTIC_ANALYSIS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_COMPUTER_VISION.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_CHATBOTS__RECOMMENDATION_ENGINES.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_STATISTICAL_LEARNING__PREDICTION.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/AI_REINFORCEMENT_LEARNING.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/Electives.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/Robotics_Automation.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/BLOCKCHAIN_CRYPTOCURRENCIES__FINTECH.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/ETHICS_POLICY_MAKING_AND_LEGISLATION_IN_CS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/UX_UI__HUMAN.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/Capstone_Project.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Fundamentals_of_Probability_and_Statistics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Fundamentals_of_Human_Behavior.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Communication_Skills.pdf
,,https://docs.ie.edu/university/Grados/BDBA/The_Big_History_of_Ideas_and_Innovation.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Introduction_to_Programming_for_Data_Science.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Learning_to_Observe_Experiment_and_Survey.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Fundamentals_of_Data_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Professional_Bootcamp_Leadership.pdf
,,https://docs.ie.edu/university/Grados/BBA_REACREDITACION/Humanities.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Computational_Thinking_for_Data_Management_%26_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Simulating_and_Modeling_to_Understand_Change.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Data_Insights_and_Visualization.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Algorithms_and_Data_Structure.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Time_Series_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Mathematics_for_Data_Management_%26_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Probability_%26_Statistics_for_Data_Management_%26_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Programming_for_Data_Management_%26_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BBA_REACREDITACION/TECH.pdf
,,https://docs.ie.edu/university/Grados/BIE_acreditacion/IE_Impact_Entrepreneurship.pdf
,,https://docs.ie.edu/university/Grados/BDBA/AI_Machine_Learning_Foundations.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Introduction_to_Business_and_Social_Analytics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Forecasting_for_Time_Series.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Operating_Systems_%26_Parallel_Computing.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Analyzing_Social_Media.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Project_Management.pdf
,,https://docs.ie.edu/university/Grados/BDBA/AI_Machine_Learning_%26_Analytics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Recommendation_Engines.pdf
,,https://docs.ie.edu/university/Grados/BBA_REACREDITACION/IE_Challenge.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Big_Data_Technology.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Stream_Analytics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Advanced_Databases.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Designing_AI_%26_Implementing_Smart_Technologies.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Professional_Bootcamp_Teamwork.pdf
,,https://docs.ie.edu/university/Grados/BDBA/NLP_Text_Mining_and_Semantic_Analysis.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Data_Visualization_Dashboards_%26_Storytelling.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Emerging_Topics_in_Data_Analysis_%26_Management.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Data_Governance.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Advanced_Topic_Customer_Analytics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Advanced_Topic_Financial_Analytics.pdf
,,https://docs.ie.edu/university/Grados/BDBA/Advanced_Topic_Connected_Industries_Smart_Cities_%26_E-Governments.pdf
